,name,new_price,old_price,saved_price,sku,url,more_info
924,Print Kari Raw Silk Block Printed Shirt And Trouser WGK-RSW-SP-1982,2562,5124,2562,W-AP-23-365032 -P,https://www.gulahmedshop.com/print-kari-raw-silk-block-printed-shirt-and-trouser-wgk-rsw-sp-1982,"Raw Silk, Raw Silk, No, 41% to 50%"
925,The Loom Yarn Dyed Shirt And Trouser WGK-JQS-DY-1545,4103,8204,4101,W-AP-23-362447 -P,https://www.gulahmedshop.com/the-loom-yarn-dyed-shirt-and-trouser-wgk-jqs-dy-1545,"Yarn Dyed, Yarn Dyed, No, 41% to 50%"
926,Printed Melody Printed Tusser Silk Shirt And Raw Silk Trouser WGK-CHS-DP-2536,3589,7177,3588,W-AP-23-359656 -P,https://www.gulahmedshop.com/printed-melody-printed-tusser-silk-shirt-and-raw-silk-trouser-wgk-chs-dp-2536,"Silk, Raw Silk, No, 41% to 50%"
927,The Loom Yarn Dyed Shirt WGK-YDS-DY-2461,2490,4713,2223,W-AP-23-356753 -P,https://www.gulahmedshop.com/the-loom-yarn-dyed-shirt-wgk-yds-dy-2461,"Yarn Dyed, No, 41% to 50%"
928,Lawn Printed Shirt WGK-LWS-DP-2509,1491,2351,860,W-AP-23-358114 -P,https://www.gulahmedshop.com/lawn-printed-shirt-wgk-lws-dp-2509,"Lawn, No, 31% to 40%"
929,Lawn Printed Shirt And Trouser WGK-CMS-DP-2841,2495,4990,2495,W-AP-23-370414 -P,https://www.gulahmedshop.com/lawn-printed-shirt-and-trouser-wgk-cms-dp-2841,"Lawn, Lawn, No, 41% to 50%"
930,Yarn Dyed Shirt WGK-YDS-DY-2620,2408,4816,2408,W-AP-23-363609 -P,https://www.gulahmedshop.com/yarn-dyed-shirt-wgk-yds-dy-2620,"Yarn Dyed, No, 41% to 50%"
931,Khaddar Embroidered Shirt And Dupatta WGK-KDW-DE-1935,4616,9231,4615,W-AP-23-362465 -P,https://www.gulahmedshop.com/khaddar-embroidered-shirt-and-dupatta-wgk-kdw-de-1935,"Khaddar, khaddar, No, 41% to 50%"
932,Screen Printed Cambric Embroidered Shirt GLS-23-207,0,"6,150",0,W-AP-23-364858 -P,https://www.gulahmedshop.com/screen-printed-cambric-embroidered-shirt-gls-23-207,"Cambric, No"
933,Lawn Printed Shirt And Trouser WGK-CMS-DP-2841,2495,4990,2495,W-AP-23-370414 -P,https://www.gulahmedshop.com/lawn-printed-shirt-and-trouser-wgk-cms-dp-2841,"Lawn, Lawn, No, 41% to 50%"
934,Yarn Dyed Shirt WGK-YDS-DY-2620,2408,4816,2408,W-AP-23-363609 -P,https://www.gulahmedshop.com/yarn-dyed-shirt-wgk-yds-dy-2620,"Yarn Dyed, No, 41% to 50%"
935,Khaddar Embroidered Shirt And Dupatta WGK-KDW-DE-1935,4616,9231,4615,W-AP-23-362465 -P,https://www.gulahmedshop.com/khaddar-embroidered-shirt-and-dupatta-wgk-kdw-de-1935,"Khaddar, khaddar, No, 41% to 50%"
936,Screen Printed Cambric Embroidered Shirt GLS-23-207,0,"6,150",0,W-AP-23-364858 -P,https://www.gulahmedshop.com/screen-printed-cambric-embroidered-shirt-gls-23-207,"Cambric, No"
937,Dyed Jacquard Shirt GLS-23-34,0,"4,390",0,W-AP-23-369854 -P,https://www.gulahmedshop.com/dyed-jacquard-shirt-gls-23-34,"Jacquard, No"
938,Dyed Cambric Embroidered Shirt GLS-23-211,0,"5,432",0,W-AP-23-364840 -P,https://www.gulahmedshop.com/dyed-cambric-embroidered-shirt-gls-23-211,"Cambric, No"
939,Khaddar Dyed Shirt And Trouser WGK-KDW-DY-2902,2945,5890,2945,W-AP-23-372032 -P,https://www.gulahmedshop.com/khaddar-dyed-shirt-and-trouser-wgk-kdw-dy-2902,"Khaddar, Khaddar, No, 41% to 50%"
940,Digital Printed Cambric Suit IPS-23-36,0,"6,690",0,W-AP-23-371163 -P,https://www.gulahmedshop.com/digital-printed-cambric-suit-ips-23-36,"Cambric, Cambric, No"
